timestamp_procesado,timestamp_lectura_csv,ruta_pasajero,tiempo_total_estimado_desde_entrada_min
2026-05-16 11:24:18,2026-05-16 12:03:18,bagdrop_seguridad_embarque,49.35
2026-05-16 11:24:18,2026-05-16 12:03:18,directo_seguridad_pasaportes_embarque,37.1
2026-05-16 11:24:18,2026-05-16 12:03:18,directo_seguridad_embarque,35.1
2026-05-16 11:24:21,2026-05-16 12:04:18,checkin_seguridad_pasaportes_embarque,66.72
2026-05-16 11:24:21,2026-05-16 12:04:18,checkin_seguridad_embarque,64.72
2026-05-16 11:24:21,2026-05-16 12:04:18,bagdrop_seguridad_pasaportes_embarque,55.05
2026-05-16 11:24:21,2026-05-16 12:04:18,bagdrop_seguridad_embarque,53.05
2026-05-16 11:24:21,2026-05-16 12:04:18,directo_seguridad_pasaportes_embarque,39.3
2026-05-16 11:24:21,2026-05-16 12:04:18,directo_seguridad_embarque,37.3
2026-05-16 11:24:24,2026-05-16 12:05:18,checkin_seguridad_pasaportes_embarque,71.25
2026-05-16 11:24:24,2026-05-16 12:05:18,checkin_seguridad_embarque,69.25
2026-05-16 11:24:24,2026-05-16 12:05:18,bagdrop_seguridad_pasaportes_embarque,58.5
2026-05-16 11:24:24,2026-05-16 12:05:18,bagdrop_seguridad_embarque,56.5
2026-05-16 11:24:24,2026-05-16 12:05:18,directo_seguridad_pasaportes_embarque,41.5
2026-05-16 11:24:24,2026-05-16 12:05:18,directo_seguridad_embarque,39.5
2026-05-16 11:24:27,2026-05-16 12:06:18,checkin_seguridad_pasaportes_embarque,75.29
2026-05-16 11:24:27,2026-05-16 12:06:18,checkin_seguridad_embarque,73.29
2026-05-16 11:24:27,2026-05-16 12:06:18,bagdrop_seguridad_pasaportes_embarque,61.75
2026-05-16 11:24:27,2026-05-16 12:06:18,bagdrop_seguridad_embarque,59.75
2026-05-16 11:24:27,2026-05-16 12:06:18,directo_seguridad_pasaportes_embarque,43.5
2026-05-16 11:24:27,2026-05-16 12:06:18,directo_seguridad_embarque,41.5
2026-05-16 11:24:30,2026-05-16 12:07:18,checkin_seguridad_pasaportes_embarque,79.04
2026-05-16 11:24:30,2026-05-16 12:07:18,checkin_seguridad_embarque,77.04
2026-05-16 11:24:30,2026-05-16 12:07:18,bagdrop_seguridad_pasaportes_embarque,65.25
2026-05-16 11:24:30,2026-05-16 12:07:18,bagdrop_seguridad_embarque,63.25
2026-05-16 11:24:30,2026-05-16 12:07:18,directo_seguridad_pasaportes_embarque,45.5
2026-05-16 11:24:30,2026-05-16 12:07:18,directo_seguridad_embarque,43.5
2026-05-16 11:24:33,2026-05-16 12:08:18,checkin_seguridad_pasaportes_embarque,83.08
2026-05-16 11:24:33,2026-05-16 12:08:18,checkin_seguridad_embarque,81.08
2026-05-16 11:24:33,2026-05-16 12:08:18,bagdrop_seguridad_pasaportes_embarque,68.25
2026-05-16 11:24:33,2026-05-16 12:08:18,bagdrop_seguridad_embarque,66.25
2026-05-16 11:24:33,2026-05-16 12:08:18,directo_seguridad_pasaportes_embarque,47.5
2026-05-16 11:24:33,2026-05-16 12:08:18,directo_seguridad_embarque,45.5
2026-05-16 11:24:36,2026-05-16 12:09:18,checkin_seguridad_pasaportes_embarque,87.71
2026-05-16 11:24:36,2026-05-16 12:09:18,checkin_seguridad_embarque,85.71
2026-05-16 11:24:36,2026-05-16 12:09:18,bagdrop_seguridad_pasaportes_embarque,71.75
2026-05-16 11:24:36,2026-05-16 12:09:18,bagdrop_seguridad_embarque,69.75
2026-05-16 11:24:36,2026-05-16 12:09:18,directo_seguridad_pasaportes_embarque,49.5
2026-05-16 11:24:36,2026-05-16 12:09:18,directo_seguridad_embarque,47.5
2026-05-16 11:24:39,2026-05-16 12:10:18,checkin_seguridad_pasaportes_embarque,90.77
2026-05-16 11:24:39,2026-05-16 12:10:18,checkin_seguridad_embarque,88.77
2026-05-16 11:24:39,2026-05-16 12:10:18,bagdrop_seguridad_pasaportes_embarque,74.1
2026-05-16 11:24:39,2026-05-16 12:10:18,bagdrop_seguridad_embarque,72.1
2026-05-16 11:24:39,2026-05-16 12:10:18,directo_seguridad_pasaportes_embarque,51.1
2026-05-16 11:24:39,2026-05-16 12:10:18,directo_seguridad_embarque,49.1
